"value","size","rank.sum","dbms","vs","threshold"
0.415765570934256,"small",953272.5,"HyperSQL","AVM vs Directed Random Mutation Time",0
0.493934008648777,"none",993807,"Postgres","AVM vs Directed Random Mutation Time",0
0.477500480584391,"none",1017501.5,"SQLite","AVM vs Directed Random Mutation Time",0
0.416169261822376,"small",953692.5,"HyperSQL","AVM vs Directed Random Mutation Time",100
0.493934008648777,"none",993807,"Postgres","AVM vs Directed Random Mutation Time",100
0.477845540176855,"none",1017860.5,"SQLite","AVM vs Directed Random Mutation Time",100
0.414871683967705,"small",952342.5,"HyperSQL","AVM vs Directed Random Mutation Time",200
0.493934008648777,"none",993807,"Postgres","AVM vs Directed Random Mutation Time",200
0.481674356016917,"none",1021844,"SQLite","AVM vs Directed Random Mutation Time",200
0.417469723183391,"small",955045.5,"HyperSQL","AVM vs Directed Random Mutation Time",300
0.493934008648777,"none",993807,"Postgres","AVM vs Directed Random Mutation Time",300
0.47518646674356,"none",1015094,"SQLite","AVM vs Directed Random Mutation Time",300
0.413084871203383,"small",950483.5,"HyperSQL","AVM vs Directed Random Mutation Time",400
0.493934008648777,"none",993807,"Postgres","AVM vs Directed Random Mutation Time",400
0.475956362937332,"none",1015895,"SQLite","AVM vs Directed Random Mutation Time",400
0.407596116878124,"small",944773,"HyperSQL","AVM vs Directed Random Mutation Time",500
0.493934008648777,"none",993807,"Postgres","AVM vs Directed Random Mutation Time",500
0.489328143021915,"none",1029807,"SQLite","AVM vs Directed Random Mutation Time",500
0.403991733948481,"small",941023,"HyperSQL","AVM vs Directed Random Mutation Time",600
0.493934008648777,"none",993807,"Postgres","AVM vs Directed Random Mutation Time",600
0.496225490196078,"none",1036983,"SQLite","AVM vs Directed Random Mutation Time",600
0.414147923875433,"small",951589.5,"HyperSQL","AVM vs Directed Random Mutation Time",700
0.493934008648777,"none",993807,"Postgres","AVM vs Directed Random Mutation Time",700
0.500668492887351,"none",1041605.5,"SQLite","AVM vs Directed Random Mutation Time",700
0.420358515955402,"small",958051,"HyperSQL","AVM vs Directed Random Mutation Time",800
0.493934008648777,"none",993807,"Postgres","AVM vs Directed Random Mutation Time",800
0.49808198769704,"none",1038914.5,"SQLite","AVM vs Directed Random Mutation Time",800
0.430618031526336,"small",968725,"HyperSQL","AVM vs Directed Random Mutation Time",900
0.493934008648777,"none",993807,"Postgres","AVM vs Directed Random Mutation Time",900
0.503460688196847,"none",1044510.5,"SQLite","AVM vs Directed Random Mutation Time",900
0.447739331026528,"none",986538,"HyperSQL","AVM vs Directed Random Mutation Time",1000
0.493934008648777,"none",993807,"Postgres","AVM vs Directed Random Mutation Time",1000
0.499784217608612,"none",1040685.5,"SQLite","AVM vs Directed Random Mutation Time",1000
