"realcasestudy","HyperSQL_avsDefaults","HyperSQL_random","HyperSQL_directedRandom","Postgres_avsDefaults","Postgres_random","Postgres_directedRandom","SQLite_avsDefaults","SQLite_random","SQLite_directedRandom"
"ArtistSimilarity",90.9090909090909,74.5454545454545,90.9090909090909,83.3333333333333,68.3333333333333,83.3333333333333,92.3076923076923,64.6153846153846,92.3076923076923
"ArtistTerm",86.9565217391304,69.8550724637681,86.9565217391304,76.9230769230769,61.7948717948718,76.9230769230769,89.6551724137931,62.5287356321839,89.6551724137931
"BankAccount",82.1428571428571,69.1666666666667,89.0476190476191,76.6666666666667,64.5555555555556,83.1111111111111,85.7142857142857,68.3333333333333,92.6984126984127
"BookTown",91.9642857142857,84.4642857142857,93.6904761904762,87.6595744680851,80.5106382978723,89.3049645390071,82.5531914893617,80.8936170212766,93.7021276595745
"BrowserCookies",89.2857142857143,51.7857142857143,93.015873015873,88.2352941176471,51.1764705882353,91.921568627451,88.5964912280702,55.7894736842105,95.9356725146199
"Cloc",100,89.7777777777778,100,100,89.7777777777778,100,100,79.5555555555556,100
"CoffeeOrders",91.0714285714286,41.9642857142857,91.0714285714286,83.6065573770492,38.5245901639344,83.6065573770492,92.0792079207921,66.6336633663366,94.2904290429043
"CustomerOrder",86.8131868131868,34.029304029304,90.03663003663,80.2083333333333,31.875,83.2638888888889,93.4426229508197,59.9453551912568,95.0091074681239
"DellStore",100,87.1153846153846,100,100,87.1153846153846,100,100,85.1709401709402,100
"Employee",93.1818181818182,86.969696969697,95.4545454545455,91.1111111111111,85.037037037037,93.3333333333333,82.2222222222222,86.4444444444444,95.1111111111111
"Examination",95.5357142857143,87.4404761904762,98.2142857142857,93.859649122807,85.906432748538,96.4912280701754,86.231884057971,78.9371980676328,97.8985507246377
"Flights",87.5,40.7638888888889,91.4583333333333,87.5,40.7638888888889,91.4583333333333,90.4761904761905,66.5476190476191,100
"FrenchTowns",88.7755102040816,23.0272108843537,96.3605442176871,82.0754716981132,21.2893081761006,89.0880503144654,85.15625,32.6041666666667,90.9635416666667
"Inventory",83.3333333333333,79.6296296296296,94.4444444444444,80.9523809523809,74.6031746031746,90.4761904761905,76.1904761904762,79.3650793650794,95.2380952380952
"Iso3166",70,69.6666666666667,89.6666666666667,63.6363636363636,63.3333333333333,81.5151515151515,72.7272727272727,61.5151515151515,90.6060606060606
"IsoFlav_R2",87.037037037037,56.2808641975309,99.7376543209877,87.2146118721461,56.8797564687976,99.7412480974125,85.8447488584475,49.3302891933029,98.3713850837138
"iTrust",92.8216062544421,87.1428571428571,96.5742714996446,90.883785664579,85.3235908141962,,82.6474622770919,85.5441243712849,97.2107910379515
"JWhoisServer",76.0869565217391,85.3985507246377,96.3586956521739,73.6842105263158,82.7017543859649,93.3157894736842,74.2105263157895,85.859649122807,96.4210526315789
"MozillaExtensions",82.2222222222222,60.212962962963,99.2962962962963,81.8681318681319,59.9084249084249,98.7545787545788,73.0769230769231,59.7435897435897,99.1483516483516
"MozillaPermissions",96.6666666666667,92.4444444444444,96.6666666666667,93.5483870967742,89.4623655913978,93.5483870967742,74.1935483870968,92.6881720430108,96.5591397849462
"NistDML181",90,64.6666666666667,90,90,64.6666666666667,90,100,73.2323232323232,100
"NistDML182",84.375,65.9722222222222,84.375,81.4814814814815,60.4938271604938,81.4814814814815,100,89.9335232668566,100
"NistDML183",100,100,100,100,100,100,100,100,100
"NistWeather",85.2941176470588,44.9019607843137,89.6078431372549,82.8571428571429,43.6190476190476,87.0476190476191,93.75,72.7083333333333,96.875
"NistXTS748",88.8888888888889,94.2592592592593,93.7037037037037,89.4736842105263,94.5614035087719,94.0350877192982,84.2105263157895,89.2982456140351,88.7719298245614
"NistXTS749",84,75.2,84,80.7692307692308,72.3076923076923,80.7692307692308,92.1052631578947,82.280701754386,91.9298245614035
"Person",77.2727272727273,88.030303030303,93.3333333333333,73.9130434782609,84.2028985507246,89.2753623188406,78.2608695652174,88.5507246376812,94.4927536231884
"Products",79.6732026143791,55.7516339869281,80.3921568627451,76.6666666666667,53.6477987421384,77.3584905660377,87.5621890547264,76.9154228855721,88.0597014925373
"RiskIt",93.4673366834171,63.500837520938,93.9530988274707,88.9952153110048,60.4625199362041,89.4577352472089,90.7780979827089,76.4841498559078,96.8011527377522
"StackOverflow",100,94.7545219638243,100,100,94.7545219638243,100,100,89.5090439276486,100
"StudentResidence",89.4736842105263,83.0701754385965,92.1052631578947,85,78.9166666666667,87.5,84.4444444444444,76.2222222222222,91.8518518518518
"UnixUsage",91.4893617021277,45.4255319148936,91.4893617021277,86,42.7,86,95.8333333333333,69.3923611111111,96.875
"Usda",100,80.8955223880597,100,100,80.8955223880597,100,100,75.5555555555556,100
"WordNet",79.2079207920792,69.8349834983498,82.4422442244224,76.6355140186916,67.2897196261682,79.6884735202492,85.0467289719626,76.4797507788162,94.9221183800623
